t,U
0.01811363636,-1.57839613
0.05961363636,-1.57839613
0.1011136364,-1.486340352
0.1426136364,-1.37127063
0.1841136364,-1.161268387
0.2256136364,-0.9138684839
0.2671136364,-0.7240034422
0.3086136364,-0.3126291851
0.352209596,0.1233572069
0.3897272727,0.5829009282
0.4217954545,1.319306054
0.4463181818,2.113424126
0.4727272727,2.899254437
0.4991363636,3.749691603
0.5274318182,4.535961417
0.5481818182,5.327944762
0.5783636364,6.150693276
0.6085454545,7.139573702
0.6349545455,7.988692361
0.6613636364,8.737604469
0.6877727273,9.444324347
0.7122954545,10.19775705
0.7387045455,10.86680529
0.7726590909,11.4590034
0.8141590909,11.67188239
0.8481136364,11.19228822
0.87075,10.45271868
0.8764090909,9.766040112
0.8952727273,9.054046206
0.9028181818,8.373696473
0.9141363636,7.424371264
0.9292272727,6.395935622
0.9367727273,5.378048037
0.9443181818,4.550025494
0.9556363636,3.500493736
0.969469697,2.503702267
0.9770151515,1.586021232
0.9858181818,0.8265610651
0.9895909091,-0.1508922978
1.006568182,-1.019349063
1.017886364,-1.546751956
1.022287879,-2.42224076
1.031090909,-3.11313855
1.042409091,-3.888420804
1.074477273,-4.834869269
1.115977273,-4.869390186
1.157477273,-4.268150887
1.198977273,-3.825132457
1.240477273,-3.523074436
1.281977273,-3.44252563
1.323477273,-3.23540013
1.364977273,-2.982246741
1.406477273,-2.683065463
1.447977273,-2.435665561
1.489477273,-2.314842352
1.530977273,-2.061688963
1.572477273,-1.831549519
1.613977273,-1.831549519
1.655477273,-1.78552163
1.696977273,-1.704972824
1.738477273,-1.658944935
1.779977273,-1.57839613
1.821477273,-1.647437963
1.862977273,-1.704972824
1.904477273,-1.658944935
1.945977273,-1.57839613
1.987477273,-1.509354296
2.018113636,-1.57839613
2.059613636,-1.57839613
2.101113636,-1.486340352
2.142613636,-1.37127063
2.184113636,-1.161268387
2.225613636,-0.9138684839
2.267113636,-0.7240034422
2.308613636,-0.3126291851
2.352209596,0.1233572069
2.389727273,0.5829009282
2.421795455,1.319306054
2.446318182,2.113424126
2.472727273,2.899254437
2.499136364,3.749691603
2.527431818,4.535961417
2.548181818,5.327944762
2.578363636,6.150693276
2.608545455,7.139573702
2.634954545,7.988692361
2.661363636,8.737604469
2.687772727,9.444324347
2.712295455,10.19775705
2.738704545,10.86680529
2.772659091,11.4590034
2.814159091,11.67188239
2.848113636,11.19228822
2.87075,10.45271868
2.876409091,9.766040112
2.895272727,9.054046206
2.902818182,8.373696473
2.914136364,7.424371264
2.929227273,6.395935622
2.936772727,5.378048037
2.944318182,4.550025494
2.955636364,3.500493736
2.969469697,2.503702267
2.977015152,1.586021232
2.985818182,0.8265610651
2.989590909,-0.1508922978
3.006568182,-1.019349063
3.017886364,-1.546751956
3.022287879,-2.42224076
3.031090909,-3.11313855
3.042409091,-3.888420804
3.074477273,-4.834869269
3.115977273,-4.869390186
3.157477273,-4.268150887
3.198977273,-3.825132457
3.240477273,-3.523074436
3.281977273,-3.44252563
3.323477273,-3.23540013
3.364977273,-2.982246741
3.406477273,-2.683065463
3.447977273,-2.435665561
3.489477273,-2.314842352
3.530977273,-2.061688963
3.572477273,-1.831549519
3.613977273,-1.831549519
3.655477273,-1.78552163
3.696977273,-1.704972824
3.738477273,-1.658944935
3.779977273,-1.57839613
3.821477273,-1.647437963
3.862977273,-1.704972824
3.904477273,-1.658944935
3.945977273,-1.57839613
3.987477273,-1.509354296
4.018113636,-1.57839613
4.059613636,-1.57839613
4.101113636,-1.486340352
4.142613636,-1.37127063
4.184113636,-1.161268387
4.225613636,-0.9138684839
4.267113636,-0.7240034422
4.308613636,-0.3126291851
4.352209596,0.1233572069
4.389727273,0.5829009282
4.421795455,1.319306054
4.446318182,2.113424126
4.472727273,2.899254437
4.499136364,3.749691603
4.527431818,4.535961417
4.548181818,5.327944762
4.578363636,6.150693276
4.608545455,7.139573702
4.634954545,7.988692361
4.661363636,8.737604469
4.687772727,9.444324347
4.712295455,10.19775705
4.738704545,10.86680529
4.772659091,11.4590034
4.814159091,11.67188239
4.848113636,11.19228822
4.87075,10.45271868
4.876409091,9.766040112
4.895272727,9.054046206
4.902818182,8.373696473
4.914136364,7.424371264
4.929227273,6.395935622
4.936772727,5.378048037
4.944318182,4.550025494
4.955636364,3.500493736
4.969469697,2.503702267
4.977015152,1.586021232
4.985818182,0.8265610651
4.989590909,-0.1508922978
5.006568182,-1.019349063
5.017886364,-1.546751956
5.022287879,-2.42224076
5.031090909,-3.11313855
5.042409091,-3.888420804
5.074477273,-4.834869269
5.115977273,-4.869390186
5.157477273,-4.268150887
5.198977273,-3.825132457
5.240477273,-3.523074436
5.281977273,-3.44252563
5.323477273,-3.23540013
5.364977273,-2.982246741
5.406477273,-2.683065463
5.447977273,-2.435665561
5.489477273,-2.314842352
5.530977273,-2.061688963
5.572477273,-1.831549519
5.613977273,-1.831549519
5.655477273,-1.78552163
5.696977273,-1.704972824
5.738477273,-1.658944935
5.779977273,-1.57839613
5.821477273,-1.647437963
5.862977273,-1.704972824
5.904477273,-1.658944935
